date,side,entry_ts,entry,init_sl,risk,exit_ts,exit,exit_reason,r,bars_held,pen_atr,space_atr,trade_no,equity,year
2022-09-01,long,2022-09-01 18:30:00+05:30,1701.3017,1696.8188125220026,4.4828874779973376,2022-09-01 18:50:00+05:30,1696.6656125220027,initial_stop,-1.0341744022690504,4,2.3114642503911504,0.5379652345100675,1,9896.582559773095,2022
2022-09-02,short,2022-09-02 16:40:00+05:30,1704.9073,1706.620635000561,1.7133350005608463,2022-09-02 17:20:00+05:30,1706.7806350005608,initial_stop,-1.093385123135569,8,1.3629684402277351,0.7088965881812548,1,9788.374798365707,2022
2022-09-02,short,2022-09-02 17:35:00+05:30,1705.1202999999998,1707.1123481602835,1.9920481602837299,2022-09-02 18:00:00+05:30,1707.2895481602836,initial_stop,-1.0889536726736795,5,1.4584429896532138,0.35531781981778643,2,9681.783931503838,2022
2022-09-06,long,2022-09-06 17:25:00+05:30,1713.777,1711.7439014772222,2.033098522777891,2022-09-06 18:00:00+05:30,1711.587501477222,initial_stop,-1.0769269163534592,7,1.254216504874566,0.6621706429919076,1,9577.518194362288,2022
2022-09-08,short,2022-09-08 16:15:00+05:30,1722.035,1724.6121502838764,2.5771502838763354,2022-09-08 16:25:00+05:30,1724.7551502838764,initial_stop,-1.0554876449754185,2,0.5978338063954749,0.7436069811059233,1,9476.428673125522,2022
2022-09-08,short,2022-09-08 16:55:00+05:30,1722.4339000000002,1725.1651167614318,2.7312167614315968,2022-09-08 17:05:00+05:30,1725.317816761432,initial_stop,-1.0559091472183468,2,0.7238506726832001,0.37901194020325785,2,9376.366195936367,2022
2022-09-09,short,2022-09-09 17:05:00+05:30,1725.3172,1728.2854226263514,2.968222626351462,2022-09-09 18:10:00+05:30,1722.3275000000003,trail,1.0072357691291396,13,2.406881870512119,0.4078919276130961,1,9470.808310106371,2022
2022-09-12,short,2022-09-12 17:20:00+05:30,1728.147,1730.659505611143,2.5125056111430695,2022-09-12 17:30:00+05:30,1730.821605611143,initial_stop,-1.064517268849506,2,0.47288851650224584,0.6536237858487486,1,9369.989920145656,2022
2022-09-12,short,2022-09-12 18:10:00+05:30,1727.1729,1731.2545643973542,4.081664397354189,2022-09-12 18:35:00+05:30,1731.4125643973543,initial_stop,-1.0387096989410858,5,2.488062037253644,0.8914474088675799,2,9272.6629260553,2022
2022-09-13,short,2022-09-13 18:05:00+05:30,1714.8608,1720.074651423652,5.213851423652159,2022-09-13 19:00:00+05:30,1702.8562,trail,2.3024438221507837,11,1.467430290266374,5.216647149912919,1,9486.160780745126,2022
2022-09-14,short,2022-09-14 15:15:00+05:30,1704.0897,1706.8464635772439,2.7567635772438734,2022-09-14 17:50:00+05:30,1703.9657,trail,0.04498028087123633,31,0.3738083550862541,0.38414936490953144,1,9490.427682508202,2022
2022-09-15,long,2022-09-15 18:00:00+05:30,1685.4825,1682.2984523732564,3.184047626743677,2022-09-15 18:00:00+05:30,1682.1399523732564,initial_stop,-1.0497794061460386,0,1.0398117590982128,0.6055102169956889,1,9390.799127142047,2022
2022-09-15,long,2022-09-15 18:10:00+05:30,1685.5662,1681.6284410769404,3.9377589230596186,2022-09-15 18:30:00+05:30,1685.3914,breakeven,-0.04439073173737767,4,1.1650767300076936,0.5233016776369603,2,9386.630482693521,2022
2022-09-19,long,2022-09-19 17:40:00+05:30,1663.0765999999999,1660.2730681710696,2.8035318289303177,2022-09-19 18:25:00+05:30,1664.9466,trail,0.6670157908332409,9,0.7607048985373797,0.4696034695428522,1,9449.240790240254,2022
2022-09-20,long,2022-09-20 15:55:00+05:30,1668.4443,1666.0366861668329,2.407613833167261,2022-09-20 17:50:00+05:30,1665.8593861668328,initial_stop,-1.0736413778478826,23,0.8433789653127596,1.0524629989893313,1,9347.789831223754,2022
2022-09-20,long,2022-09-20 18:15:00+05:30,1667.9572999999998,1664.88233668084,3.074963319159906,2022-09-20 19:00:00+05:30,1664.72363668084,initial_stop,-1.0516103717436573,9,1.267902623738614,0.4654021296577781,2,9249.487503829807,2022
2022-09-26,short,2022-09-26 15:30:00+05:30,1641.8814,1645.2352262369602,3.3538262369602307,2022-09-26 16:35:00+05:30,1640.5850000000003,trail,0.3865435799007657,13,2.679179719045863,0.5190949747087935,1,9285.240803949584,2022
2022-09-28,long,2022-09-28 15:05:00+05:30,1619.4162000000001,1616.1243379647233,3.2918620352768357,2022-09-28 15:30:00+05:30,1615.9594379647233,initial_stop,-1.0500932293737886,5,0.6569492581146835,0.28601872462169065,1,9187.737118936257,2022
2022-09-28,long,2022-09-28 15:35:00+05:30,1619.7737,1615.44641098803,4.327289011969924,2022-09-28 16:35:00+05:30,1628.1831,trail,1.9433414261766098,12,1.2625979543613945,0.37892401379478247,2,9366.28622049675,2022
2022-09-29,short,2022-09-29 17:40:00+05:30,1650.8173,1654.098735340122,3.281435340122016,2022-09-29 17:55:00+05:30,1654.2485353401219,initial_stop,-1.045650754768291,3,0.22871036682471474,0.4702877022470007,1,9268.347577938366,2022
2022-09-29,short,2022-09-29 18:05:00+05:30,1648.9835,1653.491748716383,4.508248716382923,2022-09-29 18:35:00+05:30,1653.664048716383,initial_stop,-1.03821883193219,6,2.0638657683227892,1.187869408879079,2,9172.121847975279,2022
2022-09-30,short,2022-09-30 20:15:00+05:30,1671.789,1676.7090593864214,4.9200593864213715,2022-09-30 22:40:00+05:30,1665.8067,trail,1.2158999577342804,29,0.41427304940819465,1.0401970029232916,1,9283.645673648147,2022
2022-10-04,short,2022-10-04 19:00:00+05:30,1708.6840000000002,1713.0079256088234,4.323925608823174,2022-10-04 19:30:00+05:30,1713.1867256088235,initial_stop,-1.041351312713449,6,1.8403791555593054,0.6246805652132429,1,9186.970307557947,2022
2022-10-05,long,2022-10-05 16:05:00+05:30,1710.0831,1706.1839323286301,3.8991676713699235,2022-10-05 17:05:00+05:30,1706.03373232863,initial_stop,-1.0385210415809767,12,3.330782977948952,0.26146806459401534,1,9091.56168783016,2022
2022-10-05,long,2022-10-05 17:55:00+05:30,1711.6365,1707.5380285409742,4.098471459025859,2022-10-05 19:10:00+05:30,1707.379928540974,initial_stop,-1.0385753570765823,15,2.576882928179016,1.0275866517682903,2,8997.13896856694,2022
2022-10-06,long,2022-10-06 17:55:00+05:30,1719.0236,1715.934152931225,3.0894470687749163,2022-10-06 18:10:00+05:30,1715.763052931225,initial_stop,-1.0553820784726606,3,4.964497670808081,0.5014018844581963,1,8902.184776317405,2022
2022-10-10,long,2022-10-10 14:35:00+05:30,1683.5096,1680.157596634524,3.3520033654760937,2022-10-10 14:50:00+05:30,1680.002096634524,initial_stop,-1.046390168220487,3,0.4691383838745061,1.4939008749103657,1,8809.033190061198,2022
2022-10-10,long,2022-10-10 16:40:00+05:30,1681.7521000000002,1678.65618452712,3.0959154728800513,2022-10-10 16:45:00+05:30,1678.4900845271202,initial_stop,-1.0536513355919876,1,2.283913386852805,0.4246608919533942,2,8716.216694201377,2022
2022-10-11,short,2022-10-11 18:10:00+05:30,1669.5534,1673.045597763134,3.4921977631340724,2022-10-11 20:00:00+05:30,1668.8359,trail,0.2054580091581218,22,0.949957211502309,0.9906867766862307,1,8734.124859495192,2022
2022-10-13,short,2022-10-13 18:05:00+05:30,1658.4831,1664.741580009452,6.258480009452114,2022-10-13 19:20:00+05:30,1650.4607,trail,1.2818447910488953,15,3.3794301500238215,4.457084300677654,1,8846.082784050337,2022
2022-10-17,short,2022-10-17 15:50:00+05:30,1657.5287,1660.5523422038054,3.023642203805366,2022-10-17 17:50:00+05:30,1660.7523422038055,initial_stop,-1.066145392384171,24,1.2807692927583467,0.8265957846879682,1,8751.770680041695,2022
2022-10-18,long,2022-10-18 14:50:00+05:30,1652.6209999999999,1648.7414783000334,3.879521699966517,2022-10-18 18:35:00+05:30,1655.088,trail,0.635903132084914,45,0.9635790145844565,0.7177431772023318,1,8807.423463908968,2022
2022-10-19,long,2022-10-19 18:25:00+05:30,1635.8241,1631.4508192013468,4.373280798653241,2022-10-19 19:15:00+05:30,1631.2195192013469,initial_stop,-1.052889354845714,10,1.0052460333903508,0.2933269937183941,1,8714.691039821288,2022
2022-10-19,long,2022-10-19 19:55:00+05:30,1636.3137000000002,1631.4724058789666,4.84129412103357,2022-10-19 21:00:00+05:30,1631.2541058789666,initial_stop,-1.045091249269812,13,0.402721424489432,0.47161083438062595,2,8623.614566363214,2022
2022-10-21,short,2022-10-21 15:50:00+05:30,1624.4121,1627.4058711189512,2.9937711189511447,2022-10-21 16:50:00+05:30,1627.636171118951,initial_stop,-1.07692638844102,12,1.1866785114604368,0.5714036832455942,1,8530.744585460605,2022
2022-10-21,short,2022-10-21 17:15:00+05:30,1623.3744,1626.4518212754324,3.077421275432471,2022-10-21 18:10:00+05:30,1623.1103,trail,0.08581860472214912,11,1.8269499546332322,1.2747551212004997,2,8538.065551436257,2022
2022-10-24,long,2022-10-24 19:25:00+05:30,1653.0676,1648.0333328010886,5.034267198911493,2022-10-24 19:30:00+05:30,1647.8020328010887,initial_stop,-1.0459451179011576,1,2.8575491452448993,0.4894133438763045,1,8448.76207163781,2022
2022-10-25,long,2022-10-25 18:45:00+05:30,1646.4224000000002,1642.993344474232,3.4290555257682627,2022-10-25 19:50:00+05:30,1657.0243,trail,3.091784288801968,13,3.588217271380639,0.8411824226160317,1,8709.979569966967,2022
2022-10-26,short,2022-10-26 15:00:00+05:30,1670.3102,1673.572071958603,3.261871958603024,2022-10-26 16:10:00+05:30,1669.8298,trail,0.1472773935018776,14,2.3242516822898143,0.5609583568754695,1,8722.80740085216,2022
2022-10-31,long,2022-10-31 14:55:00+05:30,1638.653,1636.2035780391886,2.449421960811378,2022-10-31 17:05:00+05:30,1640.1655,trail,0.6174926265048368,26,1.8348404128169973,0.5063466643936457,1,8776.67009337664,2022
2022-11-01,short,2022-11-01 16:10:00+05:30,1651.6689,1654.0899273936584,2.4210273936585054,2022-11-01 16:55:00+05:30,1654.3002273936584,initial_stop,-1.0868639489791847,9,0.14009467196475486,0.6396605600960344,1,8681.279630210893,2022
2022-11-01,short,2022-11-01 19:20:00+05:30,1650.9635,1654.3694061054612,3.4059061054610993,2022-11-01 20:00:00+05:30,1646.2336,trail,1.3887347018803675,8,2.7862281756826897,0.8883626067392814,2,8801.839573002902,2022
2022-11-02,short,2022-11-02 19:35:00+05:30,1651.5689,1654.815231708078,3.24633170807806,2022-11-02 21:55:00+05:30,1647.0337,trail,1.3970229809587222,28,4.029112866777386,0.7146560027870796,1,8924.803294584872,2022
2022-11-08,short,2022-11-08 19:00:00+05:30,1673.689,1676.1440617137607,2.4550617137606423,2022-11-08 19:55:00+05:30,1676.3340617137608,initial_stop,-1.0773911298991399,11,0.7355317896527972,0.4903545264351981,1,8828.648255528067,2022
2022-11-09,short,2022-11-09 14:40:00+05:30,1710.9808,1714.2834833663644,3.302683366364363,2022-11-09 16:05:00+05:30,1706.6852,trail,1.3006393660827384,17,1.1288245600315496,0.6491064480359101,1,8943.477130232443,2022
2022-11-10,long,2022-11-10 14:55:00+05:30,1706.7884999999999,1703.7915573895896,2.996942610410315,2022-11-10 20:05:00+05:30,1736.7064000000003,trail,9.982807110178289,62,1.087435430825091,0.3119166461700255,1,9836.287201086456,2022
2022-11-14,long,2022-11-14 17:25:00+05:30,1755.2934,1752.3644369218541,2.928963078145898,2022-11-14 18:45:00+05:30,1758.7308,trail,1.1735893926583667,16,0.9099037259076452,0.3999173634024537,1,9951.724824309818,2022
2022-11-15,short,2022-11-15 20:05:00+05:30,1771.4068000000002,1777.5956999729162,6.188899972916033,2022-11-16 00:00:00+05:30,1777.8070999729161,initial_stop,-1.0341579280526498,47,4.537428749626628,0.46533014740790496,1,9848.808273061235,2022
2022-11-16,short,2022-11-16 20:10:00+05:30,1774.3966,1778.7869227386316,4.390322738631539,2022-11-16 21:10:00+05:30,1778.9870227386316,initial_stop,-1.0455775148918531,12,4.265580455969316,0.7596501536053984,1,9745.831348273297,2022
2022-11-18,short,2022-11-18 15:25:00+05:30,1764.1834000000001,1767.073354450778,2.88995445077785,2022-11-18 17:40:00+05:30,1761.7665000000002,trail,0.836310758928888,27,1.3766495071401976,1.1397946242479988,1,9827.33678438597,2022
2022-11-21,long,2022-11-21 18:50:00+05:30,1744.2036,1741.8457037003304,2.357896299669619,2022-11-21 19:05:00+05:30,1744.0044,breakeven,-0.08448208686189049,3,5.438298517605516,1.005163480245852,1,9819.034445187575,2022
2022-11-22,short,2022-11-22 19:25:00+05:30,1744.0142999999998,1746.5493933813784,2.5350933813786014,2022-11-22 20:15:00+05:30,1746.7333933813784,initial_stop,-1.0725811527699656,10,1.0915403619232305,0.3629936881581559,1,9713.717332344502,2022
2022-11-22,short,2022-11-22 20:25:00+05:30,1743.4848000000002,1746.6873355534815,3.2025355534813116,2022-11-22 22:20:00+05:30,1741.761,trail,0.5382610032623544,23,1.4189902420100882,0.6229631612126865,2,9766.00248471165,2022
2022-11-24,short,2022-11-24 15:50:00+05:30,1757.4814000000001,1759.5528442703935,2.0714442703933855,2022-11-24 16:30:00+05:30,1756.9801,trail,0.24200506244125367,8,0.6455421943578412,0.4057998905803888,1,9789.63670512279,2022
2022-11-25,long,2022-11-25 14:35:00+05:30,1753.3853000000001,1750.8646658513012,2.520634148698946,2022-11-25 15:05:00+05:30,1750.6353658513012,initial_stop,-1.090969171435816,6,1.2307576226327372,0.5685446716939347,1,9682.834786674335,2022
2022-11-25,long,2022-11-25 16:00:00+05:30,1753.8154000000002,1751.1793873665108,2.636012633489372,2022-11-25 17:25:00+05:30,1751.0007873665108,initial_stop,-1.0677538482672375,17,2.6310239286544777,0.9071786962756114,2,9579.445945618261,2022
2022-11-28,short,2022-11-28 18:20:00+05:30,1754.8494999999998,1757.4957052895704,2.6462052895706165,2022-11-28 19:00:00+05:30,1754.8565,trail,-0.0026452974105516456,8,5.997869991793796,1.1354914069448123,1,9579.192540782717,2022
2022-11-29,short,2022-11-29 14:40:00+05:30,1755.5962,1758.5284008940914,2.9322008940914657,2022-11-29 15:50:00+05:30,1755.403,trail,0.06588907342237064,14,0.7548401050177539,0.8322130320483847,1,9585.504181989183,2022
2022-11-30,short,2022-11-30 19:30:00+05:30,1754.9660000000001,1759.619346211336,4.653346211335929,2022-11-30 19:45:00+05:30,1759.819546211336,initial_stop,-1.0430228035713938,3,4.034075827650831,0.3146529700100023,1,9485.525187533747,2022
2022-11-30,short,2022-11-30 20:35:00+05:30,1753.6889,1759.0723188054421,5.383418805442034,2022-12-01 00:00:00+05:30,1752.6314000000002,trail,0.1964365096267221,41,2.9011176907089236,0.7605491644642746,2,9504.158222131902,2022
2022-12-05,long,2022-12-05 14:50:00+05:30,1798.6888,1795.6491730859038,3.0396269140960612,2022-12-05 15:05:00+05:30,1795.443973085904,initial_stop,-1.0675082849965158,3,1.435712485026789,0.4539437298032235,1,9402.700545691467,2022
2022-12-06,short,2022-12-06 20:30:00+05:30,1773.941,1777.3331724498687,3.392172449868667,2022-12-06 23:10:00+05:30,1772.697,trail,0.36672663857296084,32,3.7873298317491604,0.46141656555685506,1,9437.182753337762,2022
2022-12-08,short,2022-12-08 19:15:00+05:30,1787.4035000000001,1790.776898110356,3.3733981103557653,2022-12-08 19:30:00+05:30,1790.956898110356,initial_stop,-1.0533586591655144,3,1.8654233225029868,0.8996032351422248,1,9337.775371624204,2022
2022-12-08,short,2022-12-08 20:05:00+05:30,1788.324,1792.0180902830552,3.694090283055175,2022-12-08 20:20:00+05:30,1788.5271,breakeven,-0.054979706622648325,3,0.9936669405711517,0.28783658636294157,2,9332.641490119804,2022
2022-12-09,long,2022-12-09 15:35:00+05:30,1794.007,1791.5879706047158,2.4190293952842694,2022-12-09 18:15:00+05:30,1799.9668000000001,trail,2.463715410659459,32,4.058954262800871,0.2905639064782967,1,9562.571216733484,2022
2022-12-12,short,2022-12-12 16:05:00+05:30,1790.6018000000001,1792.6882996079835,2.0864996079833418,2022-12-12 16:40:00+05:30,1792.8782996079835,initial_stop,-1.0910616034975893,7,0.7307960745656599,0.9667433827897398,1,9458.237673880592,2022
2022-12-12,short,2022-12-12 18:20:00+05:30,1790.9938000000002,1792.9276670122313,1.933867012231076,2022-12-12 18:50:00+05:30,1790.9989999999998,trail,-0.002688912922510126,6,4.420353100701569,0.6065793326595563,2,9457.983350105538,2022
2022-12-13,long,2022-12-13 15:20:00+05:30,1784.0099,1781.8916509442322,2.1182490557678193,2022-12-13 17:45:00+05:30,1787.018,trail,1.4200879692636719,29,0.3427519141520749,0.46519990739872025,1,9592.295033795348,2022
2022-12-14,long,2022-12-14 18:35:00+05:30,1807.7085,1805.1356672649488,2.572832735051179,2022-12-14 20:30:00+05:30,1808.8356,trail,0.4380774485045312,23,2.256269123389872,0.3991159378809463,1,9634.316715132425,2022
2022-12-16,short,2022-12-16 21:05:00+05:30,1787.6471,1792.421091491031,4.7739914910309835,2022-12-17 01:25:00+05:30,1792.577791491031,initial_stop,-1.032823686488423,52,2.331335220936327,0.31510977451351446,1,9534.811210067224,2022
2022-12-19,short,2022-12-19 15:30:00+05:30,1795.2354,1797.6944717364047,2.459071736404667,2022-12-19 19:00:00+05:30,1793.4557,trail,0.7237283783360028,42,2.227240710784681,0.4260846239354919,1,9603.817344615243,2022
2022-12-21,short,2022-12-21 19:40:00+05:30,1815.6266999999998,1818.089481340961,2.462781340961101,2022-12-21 20:05:00+05:30,1818.2584813409608,initial_stop,-1.0686216015969638,5,3.30355937254395,0.27867649360474145,1,9501.18887789277,2022
2022-12-23,short,2022-12-23 15:35:00+05:30,1796.9786,1799.2066146677544,2.228014667754451,2022-12-23 16:30:00+05:30,1799.3663146677543,initial_stop,-1.0716781636634765,11,1.43285748117869,0.6480357463964974,1,9399.366711399969,2022
2022-12-23,short,2022-12-23 17:05:00+05:30,1797.4062000000001,1799.396443294793,1.99024329479289,2022-12-23 18:55:00+05:30,1799.6025432947931,initial_stop,-1.1035551786755564,22,2.102994388574938,0.2660909327902077,2,9295.639513293609,2022
2022-12-27,short,2022-12-27 15:35:00+05:30,1807.5278,1809.423676423061,1.8958764230608267,2022-12-27 16:30:00+05:30,1809.5887764230608,initial_stop,-1.087083734990169,11,1.5908124639835737,0.9371331606015874,1,9194.588128081274,2022
2022-12-27,short,2022-12-27 18:55:00+05:30,1807.4474,1809.6863881229356,2.2389881229355524,2022-12-27 20:05:00+05:30,1806.3675000000003,trail,0.48231609133498254,14,3.11890838524513,0.8334205088326561,2,9238.935106154986,2022
2022-12-29,long,2022-12-29 16:40:00+05:30,1806.1114000000002,1804.0084850864664,2.102914913533823,2022-12-29 19:45:00+05:30,1808.8171,trail,1.2866426418808283,37,1.273938033091563,0.2974415513019995,1,9357.807184886475,2022
2022-12-30,long,2022-12-30 16:50:00+05:30,1817.877,1815.8292109206184,2.047789079381573,2022-12-30 17:20:00+05:30,1817.6838,breakeven,-0.09434565402520816,6,4.005780864486916,0.6429294280769025,1,9348.978500495476,2022
2023-01-03,long,2023-01-03 18:50:00+05:30,1839.459,1836.0013018004602,3.457698199539891,2023-01-03 20:30:00+05:30,1843.6665,trail,1.216849984350822,20,3.9076020964261713,1.179253076423525,1,9462.741543915716,2023
2023-01-05,long,2023-01-05 14:45:00+05:30,1847.9209,1844.5263469188803,3.3945530811197386,2023-01-05 18:45:00+05:30,1844.3220469188805,initial_stop,-1.0601846532128714,48,0.8597060226255451,0.9897585686285799,1,9362.419010293923,2023
2023-01-06,long,2023-01-06 15:20:00+05:30,1835.4367000000002,1832.833599001583,2.603100998417176,2023-01-06 17:05:00+05:30,1837.3686,trail,0.7421533014564214,21,0.25272374362088296,0.5255179304146231,1,9431.902512075003,2023
2023-01-09,long,2023-01-09 18:55:00+05:30,1876.6875,1873.852215672058,2.835284327941963,2023-01-09 19:40:00+05:30,1876.5108,breakeven,-0.06232179194819699,9,3.807567809126306,0.6194362257058115,1,9426.02438141467,2023
2023-01-10,short,2023-01-10 15:40:00+05:30,1875.6668000000002,1878.242968027261,2.576168027260792,2023-01-10 18:35:00+05:30,1872.8858,trail,1.079510331069973,35,0.6075872545990296,0.5326225013043902,1,9527.779288421216,2023
2023-01-11,long,2023-01-11 18:45:00+05:30,1879.3867000000002,1876.3410901491204,3.0456098508798277,2023-01-11 19:05:00+05:30,1876.1469901491205,initial_stop,-1.0637310783401435,4,1.2694383395811206,0.7173721605823267,1,9426.429339054625,2023
2023-01-11,long,2023-01-11 19:15:00+05:30,1880.1742000000002,1876.8679090545666,3.3062909454336022,2023-01-11 19:30:00+05:30,1876.6945090545667,initial_stop,-1.0524454752656867,3,1.3377665983824967,1.1617614895698156,2,9327.221309996627,2023
2023-01-12,long,2023-01-12 20:30:00+05:30,1882.6265,1874.6071751341656,8.019324865834506,2023-01-12 23:50:00+05:30,1897.0271,trail,1.795737202436104,40,0.31287674730044746,0.2792860757724432,1,9494.713693013784,2023
2023-01-13,short,2023-01-13 17:30:00+05:30,1899.608,1902.411317007371,2.8033170073711062,2023-01-13 18:45:00+05:30,1897.0536000000002,trail,0.9112062579020358,15,6.594058930221112,0.41002272615415203,1,9581.230118354408,2023
2023-01-20,short,2023-01-20 15:20:00+05:30,1930.5124,1933.7852528506976,3.272852850697518,2023-01-20 17:55:00+05:30,1929.0414,trail,0.4494549761644495,31,0.39104755118083445,0.6101634517601795,1,9624.293433899118,2023
2023-01-23,long,2023-01-23 21:00:00+05:30,1917.9370999999999,1912.3629764893565,5.574123510643403,2023-01-23 22:00:00+05:30,1922.2603,trail,0.7755838190067356,12,1.9655341420725316,0.3832671806047394,1,9698.937896466168,2023
2023-01-24,long,2023-01-24 21:00:00+05:30,1930.9674,1925.2723989482981,5.695001051701865,2023-01-24 22:05:00+05:30,1933.094,trail,0.37341520759939995,13,4.032157997930552,0.8858144838277139,1,9735.155205547195,2023
2023-01-27,short,2023-01-27 15:05:00+05:30,1927.2454,1929.5279690241473,2.2825690241472785,2023-01-27 15:35:00+05:30,1927.1451,trail,0.04394171608349551,6,0.3172330080429819,0.31440477914497816,1,9739.432999807905,2023
2023-01-30,long,2023-01-30 16:05:00+05:30,1929.0307000000003,1926.3847897032042,2.645910296796046,2023-01-30 16:50:00+05:30,1926.2236897032042,initial_stop,-1.060886417878607,9,4.502440786745136,0.9083907130420016,1,9636.108677934555,2023
2023-01-30,long,2023-01-30 21:00:00+05:30,1929.0898000000002,1925.7630038628572,3.326796137142992,2023-01-30 21:15:00+05:30,1925.5956038628572,initial_stop,-1.0503186829307203,3,2.3374553324638923,0.7480997749692367,2,9534.8988281827,2023
2023-01-31,long,2023-01-31 18:20:00+05:30,1909.9571,1905.8835119177863,4.073588082213746,2023-01-31 18:25:00+05:30,1905.7258119177864,initial_stop,-1.0387127998259158,1,4.153563531997819,0.4227780009158682,1,9435.858613603916,2023
2023-01-31,long,2023-01-31 18:40:00+05:30,1909.8614000000002,1905.5277216494144,4.333678350585842,2023-01-31 20:40:00+05:30,1920.8308000000002,trail,2.531198467582872,24,1.521376655607342,0.3503485673798779,2,9674.698922234744,2023
2023-02-01,long,2023-02-01 15:10:00+05:30,1925.1389000000001,1922.8556573892547,2.2832426107454467,2023-02-01 17:55:00+05:30,1928.6291,trail,1.528615480271042,33,0.8130607475390734,0.518644196431024,1,9822.58786762964,2023
2023-02-02,short,2023-02-02 16:20:00+05:30,1953.4229,1956.1866545032635,2.763754503263499,2023-02-02 17:05:00+05:30,1956.3563545032634,initial_stop,-1.0614019804579369,9,0.46393554504865603,1.423325040029273,1,9718.330725470398,2023
2023-02-02,short,2023-02-02 17:20:00+05:30,1954.8243000000002,1957.2430767770436,2.4187767770433766,2023-02-02 21:05:00+05:30,1927.5034999999998,trail,11.295296142786832,45,1.1190939235063466,0.3998978286212827,2,10816.044961047723,2023
