sweep,depth,pen,space,ema,sl,exit,be,n_is,avgR_is,R_is,win_is,pf_is,n_oos,avgR_oos,R_oos,win_oos,pf_oos
close,0.0,0.0,0.0,False,atr1.5,trail3,True,665,-0.145,-96.5,36.8,0.76,432,-0.144,-62.1,40.3,0.74
close,0.0,0.0,0.0,False,atr1.5,trail3,False,665,-0.146,-97.2,38.0,0.76,432,-0.159,-68.7,40.7,0.72
close,0.0,0.0,0.0,False,atr1.5,trail5,True,665,-0.151,-100.1,33.1,0.75,432,-0.117,-50.4,36.3,0.79
close,0.0,0.0,0.0,False,atr1.5,trail5,False,665,-0.161,-107.3,34.7,0.74,432,-0.131,-56.8,37.7,0.77
close,0.0,0.0,0.0,False,atr1.5,trail8,True,665,-0.153,-101.9,27.5,0.75,432,-0.09,-38.9,31.7,0.84
close,0.0,0.0,0.0,False,atr1.5,trail8,False,665,-0.17,-112.8,29.6,0.74,432,-0.099,-42.9,33.8,0.83
close,0.0,0.0,0.0,False,atr1.5,trail12,True,665,-0.164,-109.2,23.3,0.73,432,-0.068,-29.3,26.4,0.88
close,0.0,0.0,0.0,False,atr1.5,trail12,False,665,-0.181,-120.2,25.9,0.73,432,-0.042,-18.1,29.2,0.93
close,0.0,0.0,0.0,False,atr1.5,fixed1.0,True,665,-0.186,-123.7,44.5,0.69,432,-0.079,-34.0,48.6,0.85
close,0.0,0.0,0.0,False,atr1.5,fixed1.0,False,665,-0.186,-123.7,44.5,0.69,432,-0.079,-34.0,48.6,0.85
close,0.0,0.0,0.0,False,atr1.5,fixed1.5,True,665,-0.162,-107.7,31.3,0.73,432,-0.086,-37.2,31.9,0.84
close,0.0,0.0,0.0,False,atr1.5,fixed1.5,False,665,-0.136,-90.3,37.7,0.8,432,-0.091,-39.3,38.4,0.86
close,0.0,0.0,0.0,False,atr1.5,fixed2.0,True,665,-0.168,-111.7,23.2,0.73,432,-0.036,-15.6,26.4,0.93
close,0.0,0.0,0.0,False,atr1.5,fixed2.0,False,665,-0.113,-75.3,32.3,0.85,432,-0.057,-24.6,33.1,0.92
close,0.0,0.0,0.0,False,atr2.0,trail3,True,645,-0.115,-74.2,40.5,0.8,416,-0.088,-36.7,45.7,0.83
close,0.0,0.0,0.0,False,atr2.0,trail3,False,645,-0.122,-78.9,40.9,0.79,416,-0.093,-38.6,45.9,0.83
close,0.0,0.0,0.0,False,atr2.0,trail5,True,645,-0.118,-76.4,37.8,0.8,416,-0.081,-33.6,43.0,0.85
close,0.0,0.0,0.0,False,atr2.0,trail5,False,645,-0.132,-85.4,38.6,0.78,416,-0.088,-36.6,43.5,0.84
close,0.0,0.0,0.0,False,atr2.0,trail8,True,645,-0.099,-63.6,33.6,0.83,416,-0.064,-26.7,39.2,0.88
close,0.0,0.0,0.0,False,atr2.0,trail8,False,645,-0.119,-76.5,34.7,0.81,416,-0.07,-29.1,39.9,0.87
close,0.0,0.0,0.0,False,atr2.0,trail12,True,645,-0.112,-72.1,29.5,0.81,416,-0.055,-22.9,34.4,0.9
close,0.0,0.0,0.0,False,atr2.0,trail12,False,645,-0.134,-86.7,31.2,0.79,416,-0.032,-13.1,35.8,0.94
close,0.0,0.0,0.0,False,atr2.0,fixed1.0,True,645,-0.155,-100.0,45.3,0.73,416,-0.053,-22.0,49.3,0.9
close,0.0,0.0,0.0,False,atr2.0,fixed1.0,False,645,-0.155,-100.0,45.3,0.73,416,-0.053,-22.0,49.3,0.9
close,0.0,0.0,0.0,False,atr2.0,fixed1.5,True,645,-0.139,-89.5,31.3,0.76,416,-0.032,-13.2,34.4,0.94
close,0.0,0.0,0.0,False,atr2.0,fixed1.5,False,645,-0.108,-69.9,38.1,0.83,416,-0.048,-19.9,39.7,0.92
close,0.0,0.0,0.0,False,atr2.0,fixed2.0,True,645,-0.154,-99.1,22.8,0.74,416,-0.051,-21.0,24.8,0.91
close,0.0,0.0,0.0,False,atr2.0,fixed2.0,False,645,-0.133,-86.1,31.0,0.82,416,-0.04,-16.5,33.4,0.94
close,0.0,0.0,0.0,False,atr2.5,trail3,True,613,-0.099,-60.6,43.2,0.82,405,-0.088,-35.7,46.4,0.83
close,0.0,0.0,0.0,False,atr2.5,trail3,False,613,-0.102,-62.2,43.7,0.82,405,-0.088,-35.8,46.9,0.83
close,0.0,0.0,0.0,False,atr2.5,trail5,True,613,-0.112,-68.7,40.9,0.8,405,-0.076,-30.9,44.9,0.85
close,0.0,0.0,0.0,False,atr2.5,trail5,False,613,-0.12,-73.7,41.4,0.79,405,-0.073,-29.7,45.4,0.86
close,0.0,0.0,0.0,False,atr2.5,trail8,True,613,-0.099,-60.9,37.7,0.82,405,-0.068,-27.7,42.2,0.87
close,0.0,0.0,0.0,False,atr2.5,trail8,False,613,-0.104,-63.5,39.2,0.82,405,-0.072,-29.3,42.7,0.87
close,0.0,0.0,0.0,False,atr2.5,trail12,True,613,-0.112,-68.9,33.6,0.8,405,-0.048,-19.5,38.3,0.91
close,0.0,0.0,0.0,False,atr2.5,trail12,False,613,-0.12,-73.8,35.7,0.8,405,-0.027,-10.9,39.5,0.95
close,0.0,0.0,0.0,False,atr2.5,fixed1.0,True,613,-0.11,-67.4,46.8,0.8,405,-0.046,-18.8,49.1,0.91
close,0.0,0.0,0.0,False,atr2.5,fixed1.0,False,613,-0.11,-67.4,46.8,0.8,405,-0.046,-18.8,49.1,0.91
close,0.0,0.0,0.0,False,atr2.5,fixed1.5,True,613,-0.129,-78.9,30.0,0.77,405,-0.059,-24.0,32.1,0.89
close,0.0,0.0,0.0,False,atr2.5,fixed1.5,False,613,-0.091,-55.9,38.3,0.86,405,-0.064,-25.9,38.8,0.9
close,0.0,0.0,0.0,False,atr2.5,fixed2.0,True,613,-0.138,-84.4,22.3,0.76,405,-0.067,-27.2,23.7,0.87
close,0.0,0.0,0.0,False,atr2.5,fixed2.0,False,613,-0.091,-56.0,32.3,0.87,405,-0.094,-38.2,31.4,0.87
close,0.0,0.0,0.0,False,atr3.0,trail3,True,598,-0.051,-30.5,46.0,0.9,394,-0.105,-41.5,45.9,0.8
close,0.0,0.0,0.0,False,atr3.0,trail3,False,598,-0.055,-32.9,46.3,0.9,394,-0.105,-41.3,46.4,0.8
close,0.0,0.0,0.0,False,atr3.0,trail5,True,598,-0.058,-34.7,44.3,0.89,394,-0.096,-37.9,45.7,0.82
close,0.0,0.0,0.0,False,atr3.0,trail5,False,598,-0.067,-40.1,44.5,0.88,394,-0.093,-36.8,46.2,0.82
close,0.0,0.0,0.0,False,atr3.0,trail8,True,598,-0.062,-36.8,42.0,0.88,394,-0.094,-37.1,43.9,0.82
close,0.0,0.0,0.0,False,atr3.0,trail8,False,598,-0.063,-37.8,43.3,0.88,394,-0.096,-37.7,44.4,0.82
